,B01003_001E,state,county,tract
1034,3879,06,037,650801
1035,3181,06,037,650802
1036,4909,06,037,650901
1037,4934,06,037,650903
1038,2612,06,037,650904
1039,5242,06,037,651001
1040,4531,06,037,651002
1041,4753,06,037,651101
1042,3706,06,037,651102
1043,4985,06,037,651201
1044,3925,06,037,651221
1045,6193,06,037,651222
1046,5836,06,037,651302
1047,4920,06,037,651304
1048,2509,06,037,651401
1049,6223,06,037,651402
1050,3498,06,037,670001
1051,3908,06,037,670002
1052,5677,06,037,670003
1053,3156,06,037,670101
1054,3973,06,037,670102
1055,3565,06,037,670201
1056,2206,06,037,670202
1057,5550,06,037,670324
1058,5564,06,037,119400
1059,4925,06,037,119700
1060,2648,06,037,119801
1061,3340,06,037,119802
1062,5123,06,037,119900
1063,2796,06,037,120010
1064,3872,06,037,120020
1065,2500,06,037,120030
1066,3376,06,037,120103
1067,2243,06,037,120104
1068,2694,06,037,120105
1069,4519,06,037,120106
1070,4060,06,037,120107
1071,4592,06,037,120108
1072,5066,06,037,120300
1073,6533,06,037,120400
1074,4737,06,037,121010
1075,3701,06,037,121020
1076,3128,06,037,121101
1077,2247,06,037,121102
1078,3077,06,037,121210
1079,2379,06,037,121221
1080,4688,06,037,121222
1081,2838,06,037,121600
1082,3165,06,037,121801
1083,3088,06,037,121802
1084,3686,06,037,121900
1085,5390,06,037,122000
1086,4772,06,037,122120
1087,2909,06,037,122121
1088,2644,06,037,122122
1089,3542,06,037,122200
1090,3471,06,037,122410
1091,5029,06,037,122420
1092,3911,06,037,123010
1093,3028,06,037,123020
1094,3009,06,037,119342
1095,3816,06,037,123103
1096,4848,06,037,123104
1097,3446,06,037,123203
1098,3508,06,037,123204
1099,2716,06,037,123205
1100,2323,06,037,123206
1101,3405,06,037,236102
1102,3599,06,037,236203
1103,3137,06,037,236204
1104,3347,06,037,236205
1105,2568,06,037,236206
1106,4368,06,037,236400
1107,4099,06,037,237101
1108,4054,06,037,237102
1109,4049,06,037,237201
1110,4611,06,037,237202
1111,5407,06,037,237300
1112,4490,06,037,237401
1113,3605,06,037,237402
1114,2728,06,037,237500
1115,3914,06,037,237600
1116,4728,06,037,237710
1117,3855,06,037,237720
1118,4015,06,037,237800
1119,4651,06,037,237900
1120,6232,06,037,238000
1121,5314,06,037,238100
1122,5448,06,037,238200
1123,5222,06,037,238310
1124,3542,06,037,238320
1125,4618,06,037,238400
1126,3353,06,037,239201
1127,6442,06,037,239202
1128,4596,06,037,239310
1129,3535,06,037,239320
1130,2795,06,037,239330
1131,3533,06,037,239501
1132,3990,06,037,239502
1133,3675,06,037,239601
1134,3960,06,037,239602
1135,4738,06,037,239701
1136,4352,06,037,239702
1137,3761,06,037,239801
1138,5857,06,037,239802
1139,3809,06,037,240010
1140,5321,06,037,240020
1141,5523,06,037,240200
1142,2881,06,037,240301
1143,2811,06,037,240302
1144,4095,06,037,481201
